NomSg,NomPl,AccSg,AccPl,GenSg,GenPl,DatSg,DatPl,AblSg,AblPl,VocSg,VocPl,español,english
fluvius,fluviī,fluvium,fluviōs,fluviī,fluviōrum,fluviō,fluviīs,fluviō,fluviīs,fluve,fluviī,río,river
īnsula,īnsulae,īnsulam,īnsulās,īnsulae,īnsulārum,īnsulae,īnsulīs,īnsulā,īnsulīs,īnsula,īnsulae,isla,island
oppidum,oppida,oppidum,oppida,oppidī,oppidōrum,oppidō,oppidīs,oppidō,oppidīs,oppide,oppida,ciudad,city
vir,virī,virum,virōs,virī,virōrum,virō,virīs,virō,virīs,vir,virī,hombre,man
fēmina,fēminae,fēminam,fēminās,fēminae,fēminārum,fēminae,fēminīs,fēminā,fēminīs,fēmina,fēminae,mujer,woman
puer,puerī,puerum,puerōs,puerī,puerōrum,puerō,puerīs,puerō,puerīs,puer,puerī,niño,boy
puella,puellae,puellam,puellās,puellae,puellārum,puellae,puellīs,puellā,puellīs,puella,puellae,niña,girl
dominus,dominī,dominum,dominōs,dominī,dominōrum,dominō,dominīs,dominō,dominīs,domine,dominī,señor,lord
domina,dominae,dominam,dominās,dominae,dominārum,dominae,dominīs,dominā,dominīs,domina,dominae,señora,lady
servus,servī,servum,servōs,servī,servōrum,servō,servīs,servō,servīs,serve,servī,esclavo,male slave
ancilla,ancillae,ancillam,ancillās,ancillae,ancillārum,ancillae,ancillīs,ancillā,ancillīs,ancilla,ancillae,esclava,female slave
